customer_id,age,city,account_type,balance,monthly_income,credit_score,transaction_amount,merchant_category,risk_bucket,transaction_date,default_flag
1000,59,Delhi,Current,269050.0,61670.0,479.0,22896.0,Travel,Medium,2024-01-01 00:00:00,1
1001,49,Pune,Savings,277058.0,49600.0,365.0,29792.0,Utilities,Low,2024-01-01 01:00:00,1
1002,35,Hyderabad,Savings,579344.0,52825.0,647.0,29325.0,Travel,Medium,2024-01-01 02:00:00,0
1003,63,Pune,Current,194156.0,58370.0,470.0,31051.0,Travel,Medium,2024-01-01 03:00:00,0
1004,28,Hyderabad,Savings,527495.0,56352.0,773.0,28492.0,Shopping,High,2024-01-01 04:00:00,0
1005,41,Bangalore,Current,322956.0,60622.0,833.0,18916.0,Travel,Medium,2024-01-01 05:00:00,1
1006,59,Pune,Current,,46467.0,666.0,18833.0,Shopping,High,2024-01-01 06:00:00,0
1007,39,Bangalore,Current,537568.0,80092.0,406.0,10613.0,Utilities,High,2024-01-01 07:00:00,0
1008,43,Mumbai,Current,467127.0,61937.0,738.0,46417.0,Travel,High,2024-01-01 08:00:00,0
1009,31,Mumbai,Current,684158.0,49923.0,526.0,25161.0,Travel,Low,2024-01-01 09:00:00,0
1010,31,Delhi,Savings,340490.0,66888.0,743.0,22302.0,Travel,High,2024-01-01 10:00:00,0
1011,44,Pune,Current,368989.0,58513.0,741.0,13854.0,Shopping,Medium,2024-01-01 11:00:00,0
1012,56,Bangalore,Savings,310782.0,25323.0,695.0,60228.0,Shopping,Low,2024-01-01 12:00:00,0
1013,60,Hyderabad,Savings,370244.0,66819.0,383.0,12120.0,Travel,Low,2024-01-01 13:00:00,0
1014,44,Mumbai,Current,509167.0,39610.0,312.0,19854.0,Travel,Low,2024-01-01 14:00:00,1
1015,23,Mumbai,Current,574093.0,78689.0,792.0,29990.0,Utilities,Low,2024-01-01 15:00:00,0
1016,42,Hyderabad,Savings,644213.0,55165.0,567.0,32203.0,Utilities,Low,2024-01-01 16:00:00,0
1017,22,Bangalore,Savings,226291.0,75601.0,824.0,36495.0,Utilities,Low,2024-01-01 17:00:00,0
1018,44,Bangalore,Savings,474221.0,47396.0,419.0,46691.0,Utilities,Low,2024-01-01 18:00:00,0
1019,64,Pune,Current,333775.0,61399.0,652.0,31074.0,Utilities,High,2024-01-01 19:00:00,0
1020,50,Pune,Savings,469207.0,84205.0,356.0,12328.0,Shopping,Medium,2024-01-01 20:00:00,1
1021,58,Delhi,Current,850125.0,54620.0,339.0,21917.0,Utilities,Medium,2024-01-01 21:00:00,0
1022,22,Mumbai,Current,543779.0,48184.0,,28694.0,Utilities,High,2024-01-01 22:00:00,0
1023,41,Pune,Current,634920.0,73101.0,472.0,49819.0,Travel,High,2024-01-01 23:00:00,0
1024,53,Bangalore,Savings,794104.0,72713.0,846.0,8226.0,Shopping,Low,2024-01-02 00:00:00,0
1025,32,Hyderabad,Current,669104.0,49025.0,558.0,39431.0,Utilities,Low,2024-01-02 01:00:00,0
1026,42,Bangalore,Current,432813.0,20291.0,816.0,27159.0,Utilities,High,2024-01-02 02:00:00,0
1027,64,Mumbai,Current,,47800.0,822.0,35054.0,Utilities,Low,2024-01-02 03:00:00,0
